ride_id,captain_id,customer_id,ride_date,month,year,time,slot,app_opened,ride_booked,app_label,status,vehicle,km,weather,price,platform,captain,login,logout,hrs,rating
100001,2102,8796,30-03-2025,March,2025,04-02-2026 17:09,Evening,Opened,Booked,Opened & Booked,Confirmed,Bike,5.67,Normal,124.74,31.18,93.56,01-04-2025 07:20,31-03-2025 13:02,5.77,4.272405272
100002,2435,8988,13-03-2025,January,2025,04-02-2026 20:59,Morning,Not Opened,Not Booked,Not Opened,Rider Not Found,Bike,9.49,Normal,142.35,35.59,106.76,01-04-2025 07:20,31-03-2025 13:02,7.48,4.272405272
100003,2270,7010.238166,09-05-2025,May,2025,04-02-2026 19:10,Evening,Opened,Booked,Opened & Booked,Confirmed,Auto,2.07,Normal,115.79,11.38,86.96,01-04-2025 07:20,31-03-2025 13:02,1.73,3.7
100004,2106,8084,21-06-2025,June,2025,04-02-2026 18:47,Evening,Opened,Booked,Opened & Booked,Confirmed,Bike,9.61,Rainy,180.19,45.05,86.96,01-04-2025 07:20,31-03-2025 13:02,0.97,5
100005,2071,6124,16-04-2025,March,2025,04-02-2026 12:28,Afternoon,Opened,Booked,Opened & Booked,Confirmed,Bike,9.66,Normal,144.9,36.22,108.68,01-04-2025 07:20,31-03-2025 13:02,1.17,3.8
100006,2020,5928,06-04-2025,April,2025,04-02-2026 02:34,Night,Opened,Not Booked,Opened & Not Booked,Rider Not Found,Cab,0.16,Normal,5.6,1.4,4.2,01-04-2025 07:20,31-03-2025 13:02,9.5,4.272405272
100007,2121,8607,16-03-2025,March,2025,04-02-2026 04:16,Morning,Opened,Booked,Opened & Booked,Confirmed,Cab,1.07,Normal,37.45,9.36,28.09,01-04-2025 07:20,31-03-2025 13:02,8.68,4.2
100008,2466,8947,16-06-2025,June,2025,04-02-2026 11:56,Night,Opened,Booked,Opened & Booked,Confirmed,Bike,4.8,Normal,90,22.5,67.5,01-04-2025 07:20,31-03-2025 13:02,2.15,4.3
100009,2214,5522,23-02-2025,February,2025,04-02-2026 08:19,Morning,Opened,Booked,Opened & Booked,Confirmed,Auto,8.81,Rainy,242.28,60.57,181.71,01-04-2025 07:20,31-03-2025 13:02,5.82,4.9
100010,2297.121179,6808,29-03-2025,March,2025,04-02-2026 04:48,Night,Opened,Booked,Opened & Booked,Confirmed,Auto,1.44,Normal,31.68,7.92,23.76,01-04-2025 07:20,31-03-2025 13:02,9.98,4.3
100011,2458,8523,16-04-2025,June,2025,04-02-2026 08:29,Morning,Opened,Booked,Opened & Booked,Confirmed,Auto,0.11,Normal,2.42,28.99,1.82,01-04-2025 07:20,31-03-2025 13:02,9.2,4
100012,2087,5430,23-02-2025,February,2025,04-02-2026 11:48,Morning,Opened,Booked,Opened & Booked,Confirmed,Cab,6.19,Normal,216.65,54.16,162.49,01-04-2025 07:20,31-03-2025 13:02,3.63,4.272405272
100013,2372,5792,16-01-2025,January,2025,04-02-2026 13:04,Afternoon,Opened,Not Booked,Opened & Not Booked,Rider Not Found,Bike,7.9,Rainy,148.12,37.03,111.09,01-04-2025 07:20,31-03-2025 13:02,7.98,4.272405272
100014,2099,7010.238166,09-04-2025,April,2025,04-02-2026 14:53,Afternoon,Opened,Not Booked,Opened & Not Booked,Rider Not Found,Auto,3.96,Normal,87.12,21.78,65.34,01-04-2025 07:20,31-03-2025 13:02,2.05,4.272405272
100015,2130,6736,20-01-2025,January,2025,04-02-2026 12:55,Afternoon,Opened,Booked,Opened & Booked,Confirmed,Auto,4.2,Normal,92.4,23.1,69.3,01-04-2025 07:20,31-03-2025 13:02,3.5,3.9
100016,2308,5532,15-02-2025,January,2025,04-02-2026 04:57,Night,Opened,Booked,Opened & Booked,Cancelled by Customer,Bike,7.88,Rainy,147.75,36.94,110.81,01-04-2025 07:20,31-03-2025 13:02,5.83,4.272405272
100017,2343,8923,07-05-2025,May,2025,04-02-2026 02:16,Morning,Opened,Booked,Opened & Booked,Confirmed,Bike,3.39,Normal,50.85,12.71,38.14,01-04-2025 07:20,31-03-2025 13:02,5.2,4.3
100018,2491,8026,27-02-2025,February,2025,04-02-2026 11:56,Morning,Opened,Booked,Opened & Booked,Confirmed,Bike,3.62,Normal,54.3,28.99,40.72,01-04-2025 07:20,31-03-2025 13:02,7,4.5
100019,2413,6746,30-06-2025,June,2025,04-02-2026 01:26,Night,Opened,Booked,Opened & Booked,Rider Not Found,Auto,6.83,Normal,150.26,37.56,112.7,01-04-2025 07:20,31-03-2025 13:02,5.83,4.272405272
100020,2385,7010.238166,21-04-2025,April,2025,04-02-2026 20:22,Evening,Not Opened,Not Booked,Not Opened,Rider Not Found,Auto,7.17,Normal,115.79,39.44,118.3,01-04-2025 07:20,31-03-2025 13:02,9.98,4.272405272
100021,2191,6316,09-05-2025,May,2025,04-02-2026 07:16,Morning,Opened,Booked,Opened & Booked,Rider Not Found,Bike,5.33,Normal,79.95,28.99,59.96,01-04-2025 07:20,31-03-2025 13:02,0.9,4.272405272
100022,2276,7857,22-03-2025,March,2025,04-02-2026 22:13,Night,Opened,Booked,Opened & Booked,Confirmed,Bike,10.45,Normal,156.75,39.19,117.56,01-04-2025 07:20,31-03-2025 13:02,4.82,4.272405272
100023,2160,5912,06-06-2025,June,2025,04-02-2026 21:44,Evening,Opened,Booked,Opened & Booked,Confirmed,Bike,8.25,Normal,123.75,30.94,92.81,01-04-2025 07:20,31-03-2025 13:02,8.77,4.5
100024,2459,6124,25-03-2025,March,2025,04-02-2026 22:26,Night,Not Opened,Not Booked,Not Opened,Rider Not Found,Bike,4.95,Normal,74.25,18.56,55.69,01-04-2025 07:20,31-03-2025 13:02,4.03,4.272405272
100025,2297.121179,6525,11-03-2025,March,2025,04-02-2026 11:56,Afternoon,Opened,Booked,Opened & Booked,Confirmed,Bike,2.13,Normal,31.95,7.99,23.96,01-04-2025 07:20,31-03-2025 13:02,2.4,4.6
100026,2021,6327,08-01-2025,January,2025,04-02-2026 11:41,Morning,Opened,Booked,Opened & Booked,Confirmed,Bike,8.97,Rainy,168.19,42.05,126.14,01-04-2025 07:20,31-03-2025 13:02,8.02,4
100027,2252,7918,29-01-2025,January,2025,04-02-2026 15:41,Afternoon,Not Opened,Not Booked,Not Opened,Rider Not Found,Auto,9.08,Normal,199.76,49.94,149.82,01-04-2025 07:20,31-03-2025 13:02,8.65,4.272405272
100028,2297.121179,7587,22-04-2025,April,2025,04-02-2026 02:31,Night,Not Opened,Booked,Not Opened,Rider Not Found,Bike,5.7,Normal,85.5,21.38,64.12,01-04-2025 07:20,31-03-2025 13:02,9.28,4.272405272
100029,2474,6023,28-06-2025,June,2025,04-02-2026 22:05,Night,Opened,Booked,Opened & Booked,Confirmed,Cab,6.83,Normal,115.79,28.99,179.29,01-04-2025 07:20,31-03-2025 13:02,6.9,3.6
100030,2058,6576,10-06-2025,June,2025,04-02-2026 21:41,Evening,Opened,Not Booked,Opened & Not Booked,Rider Not Found,Bike,8.1,Normal,121.5,30.38,91.12,01-04-2025 07:20,31-03-2025 13:02,7.45,4.272405272
100031,2510,6378,11-05-2025,May,2025,04-02-2026 17:11,Evening,Opened,Booked,Opened & Booked,Confirmed,Cab,10.81,Rainy,472.94,118.24,354.7,01-04-2025 07:20,31-03-2025 13:02,4.13,4.3
